Date,Close,Open,High,Low,Volume,Change
"Feb 16, 2006",223.5,221.5,224.25,221,70.15K,0.68%
"Feb 15, 2006",222,218.5,222.5,217,94.93K,1.49%
"Feb 14, 2006",218.75,221,221.25,217.25,71.32K,-0.91%
"Feb 13, 2006",220.75,222,223.5,218.5,86.33K,-0.23%
"Feb 10, 2006",221.25,226,226.75,220,102.25K,-1.88%
"Feb 09, 2006",225.5,222,226.5,221.5,108.65K,1.92%
"Feb 08, 2006",221.25,218,224.5,216,110.40K,1.49%
"Feb 07, 2006",218,222.5,224.75,217.75,117.10K,-2.13%
"Feb 06, 2006",222.75,224.5,227.5,221.75,87.59K,-1.11%
"Feb 03, 2006",225.25,220,225.75,220,137.33K,2.15%
"Feb 02, 2006",220.5,216,221,215.5,83.92K,1.85%
"Feb 01, 2006",216.5,217.75,218.5,215.25,80.97K,-1.03%
"Jan 31, 2006",218.75,217.25,219.25,216.25,106.96K,0.46%
"Jan 30, 2006",217.75,218.25,222,216.75,80.94K,-0.46%
"Jan 27, 2006",218.75,216.25,220.75,216.25,113.82K,0.81%
"Jan 26, 2006",217,215.5,217.25,213.75,59.72K,0.23%
"Jan 25, 2006",216.5,212.5,218.25,212.5,124.03K,1.52%
"Jan 24, 2006",213.25,208.5,213.5,207.75,84.71K,2.40%
"Jan 23, 2006",208.25,204.75,208.5,204.75,69.52K,1.59%
"Jan 20, 2006",205,205.25,205.75,203.5,80.65K,0.00%
"Jan 19, 2006",205,206,207,204.75,59.13K,-0.36%
"Jan 18, 2006",205.75,208.75,208.75,205,70.83K,-1.44%
"Jan 17, 2006",208.75,213,213.5,208.25,78.61K,-2.22%
"Jan 13, 2006",213.5,212.75,214,211.75,42.83K,0.35%
"Jan 12, 2006",212.75,214,214,209.5,75.34K,-0.82%
"Jan 11, 2006",214.5,213,214.75,212.5,53.17K,0.59%
"Jan 10, 2006",213.25,211.5,213.5,210,60.64K,1.07%
"Jan 09, 2006",211,213,213,209.75,85.44K,-1.52%
"Jan 06, 2006",214.25,215,216.5,213.5,53.37K,-0.58%
"Jan 05, 2006",215.5,218,218,213,69.69K,-1.26%
"Jan 04, 2006",218.25,219,219.75,216.25,77.33K,-0.80%
"Jan 03, 2006",220,215.25,221,215,128.90K,1.97%
"Dec 30, 2005",215.75,210.75,217,209.25,61.37K,2.25%
"Dec 29, 2005",211,216,216,210.25,53.72K,-2.43%
"Dec 28, 2005",216.25,215,217,214.75,50.43K,0.35%
"Dec 27, 2005",215.5,213.25,216,212.5,55.14K,0.70%
"Dec 23, 2005",214,212.5,214.25,212,53.53K,0.59%
"Dec 22, 2005",212.75,209.5,213,209.5,54.11K,1.31%
"Dec 21, 2005",210,209.25,210.25,207.75,36.27K,0.12%
"Dec 20, 2005",209.75,208.5,212,208.25,68.27K,0.48%
"Dec 19, 2005",208.75,207,209.75,206.5,41.39K,0.60%
"Dec 16, 2005",207.5,204.5,208.75,204,46.79K,1.34%
"Dec 15, 2005",204.75,206.5,206.75,204.5,45.27K,5.41%
"Dec 14, 2005",194.25,197,197.5,193.5,1.61K,-0.64%
"Dec 13, 2005",195.5,195,195.5,191,4.14K,0.64%
"Dec 12, 2005",194.25,190.75,195,190.75,4.16K,2.37%
"Dec 09, 2005",189.75,188,190,186,4.29K,0.80%
"Dec 08, 2005",188.25,187,188.75,186.75,5.98K,0.67%
"Dec 07, 2005",187,190,190.5,186.75,9.66K,-1.97%
"Dec 06, 2005",190.75,193,193.5,190,8.85K,-1.42%
"Dec 05, 2005",193.5,189.75,194.75,189.25,10.64K,1.98%
"Dec 02, 2005",189.75,189,191.25,188.75,17.24K,0.26%
"Dec 01, 2005",189.25,188,189.5,186.5,26.71K,0.93%
"Nov 30, 2005",187.5,186.25,187.75,185.75,32.77K,0.67%
"Nov 29, 2005",186.25,187.75,188,186,102.46K,-0.80%
"Nov 28, 2005",187.75,190,190.25,187.25,89.91K,-1.05%
"Nov 25, 2005",189.75,190.75,191.25,189.25,37.26K,-0.52%
"Nov 23, 2005",190.75,191.5,191.75,190.5,2.02K,-0.39%
"Nov 22, 2005",191.5,191.5,192.75,191.25,67.75K,0.00%
"Nov 21, 2005",191.5,191.25,192.25,191.25,69.33K,0.13%
"Nov 18, 2005",191.25,192,192.25,190.75,61.84K,-0.52%
"Nov 17, 2005",192.25,192.5,192.75,191.75,62.62K,-0.26%
"Nov 16, 2005",192.75,195.75,196.5,192.25,94.39K,-1.53%
"Nov 15, 2005",195.75,196.5,198.5,195.5,54.86K,-0.51%
"Nov 14, 2005",196.75,197,199.5,196,96.50K,0.64%
"Nov 11, 2005",195.5,193.75,196,193.25,81.18K,0.90%
"Nov 10, 2005",193.75,195,195.5,193.5,84.82K,-0.77%
"Nov 09, 2005",195.25,195,196.25,194.5,69.50K,0.00%
"Nov 08, 2005",195.25,194.5,195.75,194.25,63.06K,0.26%
"Nov 07, 2005",194.75,195.25,195.5,194.25,78.10K,-0.38%
"Nov 04, 2005",195.5,196.25,197,195.25,59.46K,-0.38%
"Nov 03, 2005",196.25,196,197.5,196,48.09K,0.13%
"Nov 02, 2005",196,196.25,196.75,195.5,46.85K,-0.38%
"Nov 01, 2005",196.75,196.25,198.5,196,67.93K,0.25%
"Oct 31, 2005",196.25,197,197.25,196,66.62K,-0.38%
"Oct 28, 2005",197,197.5,198.25,196.75,35.47K,-0.38%
"Oct 27, 2005",197.75,198.25,198.5,197.5,34.40K,-0.25%
"Oct 26, 2005",198.25,199,199.5,198,40.17K,-0.63%
"Oct 25, 2005",199.5,199.5,200.5,198.75,49.80K,0.00%
